id,numero,commune,section,arpente,contenance
51210000AB0141,141,51210,AB,False,3731
51210000AB0005,5,51210,AB,False,1381
51210000AB0211,211,51210,AB,False,2064
51210000AB0332,332,51210,AB,False,513
51210000AB0142,142,51210,AB,False,1867
51210000AB0333,333,51210,AB,False,647
51210000AB0348,348,51210,AB,False,295
51210000AB0350,350,51210,AB,False,575
51210000AB0351,351,51210,AB,False,407
51210000AB0353,353,51210,AB,False,1780
51210000AB0354,354,51210,AB,False,27
51210000AB0214,214,51210,AB,False,170
51210000AB0003,3,51210,AB,False,407
51210000AB0791,791,51210,AB,False,4317
51210000AB0794,794,51210,AB,False,155
51210000AB0796,796,51210,AB,False,28
51210000AB0795,795,51210,AB,False,37
51210000AB0797,797,51210,AB,False,8
51210000AB0201,201,51210,AB,False,277
51210000AB0203,203,51210,AB,False,47
51210000AB0202,202,51210,AB,False,49
51210000AB0171,171,51210,AB,False,2314
51210000AB0172,172,51210,AB,False,187
51210000AB0730,730,51210,AB,False,256
51210000AB0451,451,51210,AB,False,1102
51210000AB0112,112,51210,AB,False,1622
51210000AB0760,760,51210,AB,False,503
51210000AB0339,339,51210,AB,False,40
51210000AB0111,111,51210,AB,False,1590
51210000AB0706,706,51210,AB,False,2747
51210000AB0744,744,51210,AB,False,1099
51210000AB0546,546,51210,AB,False,629
51210000AB0320,320,51210,AB,False,183
51210000AB0330,330,51210,AB,False,93
51210000AB0337,337,51210,AB,False,325
51210000AB0329,329,51210,AB,False,116
51210000AB0340,340,51210,AB,False,151
51210000AB0018,18,51210,AB,False,7145
51210000AB0280,280,51210,AB,False,6890
51210000AB0550,550,51210,AB,False,1742
51210000AB0297,297,51210,AB,False,317
51210000AB0312,312,51210,AB,False,233
51210000AB0369,369,51210,AB,False,30
51210000AB0323,323,51210,AB,False,117
51210000AB0325,325,51210,AB,False,62
51210000AB0731,731,51210,AB,True,418
51210000AB0736,736,51210,AB,False,3491
51210000AB0732,732,51210,AB,True,418
51210000AB0565,565,51210,AB,False,1367
51210000AB0733,733,51210,AB,True,418
51210000AB0170,170,51210,AB,False,195
51210000AB0734,734,51210,AB,True,418
51210000AB0452,452,51210,AB,False,1103
51210000AB0735,735,51210,AB,True,76
51210000AB0453,453,51210,AB,False,95
51210000AB0742,742,51210,AB,False,89
51210000AB0743,743,51210,AB,False,545
51210000AB0559,559,51210,AB,True,405
51210000AB0557,557,51210,AB,True,251
51210000AB0560,560,51210,AB,True,11
51210000AB0761,761,51210,AB,False,188
51210000AB0292,292,51210,AB,False,194
51210000AB0307,307,51210,AB,False,116
51210000AB0304,304,51210,AB,False,134
51210000AB0317,317,51210,AB,False,29
51210000AB0327,327,51210,AB,False,21
51210000AB0737,737,51210,AB,False,1580
51210000AB0738,738,51210,AB,False,3101
51210000AB0031,31,51210,AB,False,4067
51210000AB0030,30,51210,AB,False,4025
51210000AB0270,270,51210,AB,False,3522
51210000AB0260,260,51210,AB,False,1722
51210000AB0019,19,51210,AB,False,6417
51210000AB0566,566,51210,AB,False,142
51210000AB0564,564,51210,AB,False,39
51210000AB0641,641,51210,AB,False,320
51210000AB0718,718,51210,AB,False,1374
51210000AB0276,276,51210,AB,False,308
51210000AB0637,637,51210,AB,False,82
51210000AB0639,639,51210,AB,False,2566
51210000AB0420,420,51210,AB,False,68
51210000AB0745,745,51210,AB,False,43
51210000AB0746,746,51210,AB,False,1918
51210000AB0423,423,51210,AB,False,8
51210000AB0688,688,51210,AB,True,2
51210000AB0721,721,51210,AB,False,5824
51210000AB0616,616,51210,AB,True,1421
51210000AB0455,455,51210,AB,False,200
51210000AB0273,273,51210,AB,False,251
51210000AB0274,274,51210,AB,False,1172
51210000AB0457,457,51210,AB,False,410
51210000AB0024,24,51210,AB,False,997
51210000AB0266,266,51210,AB,False,146
51210000AB0265,265,51210,AB,False,324
51210000AB0278,278,51210,AB,False,198
51210000AB0264,264,51210,AB,False,97
51210000AB0263,263,51210,AB,False,147
51210000AB0271,271,51210,AB,False,260
51210000AB0279,279,51210,AB,False,451
51210000AB0268,268,51210,AB,False,165
51210000AB0269,269,51210,AB,False,1463
51210000AB0261,261,51210,AB,False,155
51210000AB0249,249,51210,AB,False,243
51210000AB0590,590,51210,AB,True,127
51210000AB0676,676,51210,AB,True,404
51210000AB0580,580,51210,AB,True,1789
51210000AB0591,591,51210,AB,True,225
51210000AB0720,720,51210,AB,False,3584
51210000AB0581,581,51210,AB,True,5875
51210000AB0747,747,51210,AB,False,1593
51210000AB0678,678,51210,AB,True,532
51210000AB0679,679,51210,AB,True,719
51210000AB0617,617,51210,AB,True,53
51210000AB0619,619,51210,AB,True,675
51210000AB0286,286,51210,AB,False,10
51210000AB0289,289,51210,AB,False,261
51210000AB0301,301,51210,AB,False,18
51210000AB0281,281,51210,AB,False,145
51210000AB0299,299,51210,AB,False,18
51210000AB0284,284,51210,AB,False,55
51210000AB0295,295,51210,AB,False,92
51210000AB0294,294,51210,AB,False,144
51210000AB0309,309,51210,AB,False,22
51210000AB0691,691,51210,AB,True,71
51210000AB0692,692,51210,AB,True,12
51210000AB0662,662,51210,AB,True,497
51210000AB0663,663,51210,AB,True,464
51210000AB0656,656,51210,AB,True,377
51210000AB0664,664,51210,AB,True,472
51210000AB0655,655,51210,AB,True,379
51210000AB0654,654,51210,AB,True,463
51210000AB0653,653,51210,AB,True,477
51210000AB0652,652,51210,AB,True,359
51210000AB0651,651,51210,AB,True,405
51210000AB0085,85,51210,AB,False,2299
51210000AB0650,650,51210,AB,True,548
51210000AB0123,123,51210,AB,False,469
51210000AB0177,177,51210,AB,False,533
51210000AB0176,176,51210,AB,False,69
51210000AB0178,178,51210,AB,False,600
51210000AB0175,175,51210,AB,False,523
51210000AB0179,179,51210,AB,False,597
51210000AB0623,623,51210,AB,True,154
51210000AB0601,601,51210,AB,True,463
51210000AB0668,668,51210,AB,True,66
51210000AB0665,665,51210,AB,True,526
51210000AB0666,666,51210,AB,True,466
51210000AB0667,667,51210,AB,True,498
51210000AB0598,598,51210,AB,True,381
51210000AB0529,529,51210,AB,True,342
51210000AB0599,599,51210,AB,True,432
51210000AB0698,698,51210,AB,True,69
51210000AB0530,530,51210,AB,False,344
51210000AB0600,600,51210,AB,True,416
51210000AB0622,622,51210,AB,True,13
51210000AB0122,122,51210,AB,False,1600
51210000AB0087,87,51210,AB,False,3188
51210000AB0649,649,51210,AB,True,371
51210000AB0648,648,51210,AB,True,355
51210000AB0647,647,51210,AB,True,368
51210000AB0646,646,51210,AB,True,390
51210000AB0528,528,51210,AB,True,400
51210000AB0677,677,51210,AB,True,542
51210000AB0626,626,51210,AB,True,2
51210000AB0613,613,51210,AB,True,500
51210000AB0614,614,51210,AB,True,496
51210000AB0627,627,51210,AB,True,4
51210000AB0628,628,51210,AB,True,6
51210000AB0624,624,51210,AB,True,35
51210000AB0615,615,51210,AB,True,496
51210000AB0620,620,51210,AB,True,100
51210000AB0659,659,51210,AB,True,496
51210000AB0660,660,51210,AB,True,404
51210000AB0658,658,51210,AB,True,500
51210000AB0625,625,51210,AB,True,20
51210000AB0621,621,51210,AB,True,94
51210000AB0788,788,51210,AB,False,388
51210000AB0783,783,51210,AB,False,954
51210000AB0032,32,51210,AB,False,3899
51210000AB0121,121,51210,AB,False,6140
51210000AB0259,259,51210,AB,False,2089
51210000AB0119,119,51210,AB,False,2347
51210000AB0712,712,51210,AB,False,3954
51210000AB0714,714,51210,AB,False,6379
51210000AB0035,35,51210,AB,False,15
51210000AB0770,770,51210,AB,True,664
51210000AB0724,724,51210,AB,True,5886
51210000AB0587,587,51210,AB,True,8696
51210000AB0251,251,51210,AB,False,197
51210000AB0235,235,51210,AB,False,198
51210000AB0238,238,51210,AB,False,74
51210000AB0245,245,51210,AB,False,9
51210000AB0716,716,51210,AB,False,6524
51210000AB0247,247,51210,AB,False,308
51210000AB0256,256,51210,AB,False,26
51210000AB0258,258,51210,AB,False,148
51210000AB0584,584,51210,AB,True,5411
51210000AB0592,592,51210,AB,True,138
51210000AB0680,680,51210,AB,True,490
51210000AB0607,607,51210,AB,True,657
51210000AB0618,618,51210,AB,True,41
51210000AB0606,606,51210,AB,True,552
51210000AB0582,582,51210,AB,True,6045
51210000AB0593,593,51210,AB,True,144
51210000AB0776,776,51210,AB,True,216
51210000AB0522,522,51210,AB,True,412
51210000AB0757,757,51210,AB,False,93
51210000AB0523,523,51210,AB,True,309
51210000AB0524,524,51210,AB,True,286
51210000AB0535,535,51210,AB,False,439
51210000AB0603,603,51210,AB,True,666
51210000AB0534,534,51210,AB,False,333
51210000AB0602,602,51210,AB,True,570
51210000AB0533,533,51210,AB,False,328
51210000AB0604,604,51210,AB,True,565
51210000AB0605,605,51210,AB,True,551
51210000AB0526,526,51210,AB,True,409
51210000AB0525,525,51210,AB,True,407
51210000AB0532,532,51210,AB,False,344
51210000AB0531,531,51210,AB,False,344
51210000AB0789,789,51210,AB,False,23
51210000AB0748,748,51210,AB,False,468
51210000AB0751,751,51210,AB,False,1737
51210000AB0753,753,51210,AB,False,3687
51210000AB0764,764,51210,AB,True,560
51210000AB0766,766,51210,AB,True,718
51210000AB0767,767,51210,AB,True,720
51210000AB0768,768,51210,AB,True,169
51210000AB0769,769,51210,AB,True,158
51210000AB0765,765,51210,AB,True,243
51210000AB0772,772,51210,AB,True,652
51210000AB0773,773,51210,AB,True,654
51210000AB0774,774,51210,AB,True,288
51210000AB0775,775,51210,AB,True,331
51210000AB0771,771,51210,AB,True,220
51210000AB0723,723,51210,AB,True,1738
51210000AB0725,725,51210,AB,True,62
51210000AB0077,77,51210,AB,False,3317
51210000AB0726,726,51210,AB,True,38
51210000AB0595,595,51210,AB,True,89
51210000AB0080,80,51210,AB,False,980
51210000AB0755,755,51210,AB,False,636
51210000AB0786,786,51210,AB,False,6128
51210000AB0363,363,51210,AB,False,477
51210000AB0682,682,51210,AB,False,3424
51210000AB0642,642,51210,AB,False,4868
51210000AB0686,686,51210,AB,False,2348
51210000AB0684,684,51210,AB,False,162
51210000AB0782,782,51210,AB,False,482
51210000AB0778,778,51210,AB,True,179
51210000AB0779,779,51210,AB,True,176
51210000AB0780,780,51210,AB,True,58
51210000AB0781,781,51210,AB,True,61
51210000AB0777,777,51210,AB,True,61
51210000AB0800,800,51210,AB,False,721
51210000AB0103,103,51210,AB,False,3010
51210000AB0105,105,51210,AB,False,1600
51210000AB0124,124,51210,AB,False,898
51210000AB0106,106,51210,AB,False,3400
51210000AB0104,104,51210,AB,False,1610
51210000AB0125,125,51210,AB,False,472
51210000AB0070,70,51210,AB,False,1140
51210000AB0727,727,51210,AB,False,295
51210000AB0728,728,51210,AB,False,708
51210000AB0130,130,51210,AB,False,2176
51210000AB0127,127,51210,AB,False,2876
51210000AB0140,140,51210,AB,False,884
51210000AB0128,128,51210,AB,False,1457
51210000AB0139,139,51210,AB,False,440
51210000AB0711,711,51210,AB,True,5489
51210000AB0071,71,51210,AB,False,2803
51210000AB0758,758,51210,AB,False,7046
51210000AB0577,577,51210,AB,False,12
51210000AB0067,67,51210,AB,False,125
51210000AB0066,66,51210,AB,False,211
51210000AB0798,798,51210,AB,False,438
51210000AB0411,411,51210,AB,False,37
51210000AB0054,54,51210,AB,False,246
51210000AB0059,59,51210,AB,False,247
51210000AB0060,60,51210,AB,False,80
51210000AB0058,58,51210,AB,False,374
51210000AB0055,55,51210,AB,False,275
51210000AB0061,61,51210,AB,False,63
51210000AB0057,57,51210,AB,False,195
51210000AB0056,56,51210,AB,False,427
51210000AB0065,65,51210,AB,False,204
51210000AB0064,64,51210,AB,False,156
51210000AB0063,63,51210,AB,False,89
51210000AB0062,62,51210,AB,False,87
51210000AB0212,212,51210,AB,False,537
51210000AB0074,74,51210,AB,False,1305
51210000AB0213,213,51210,AB,False,44
51210000AB0075,75,51210,AB,False,958
51210000AC0189,189,51210,AC,False,120281
51210000AC0190,190,51210,AC,False,55205
51210000AC0191,191,51210,AC,False,38126
51210000AC0192,192,51210,AC,False,23063
51210000AC0179,179,51210,AC,False,2864
51210000AC0194,194,51210,AC,False,5295
51210000AC0193,193,51210,AC,False,3651
51210000AC0181,181,51210,AC,False,7163
51210000AC0187,187,51210,AC,False,3201
51210000AC0186,186,51210,AC,False,341
51210000AC0183,183,51210,AC,False,470
51210000AC0184,184,51210,AC,False,18
51210000AC0088,88,51210,AC,False,850
51210000AC0065,65,51210,AC,False,1795
51210000AC0087,87,51210,AC,False,4402
51210000AC0066,66,51210,AC,False,2074
51210000AC0064,64,51210,AC,False,4403
51210000AC0094,94,51210,AC,False,1488
51210000AC0137,137,51210,AC,False,422
51210000AC0138,138,51210,AC,False,445
51210000AC0063,63,51210,AC,False,1346
51210000AC0058,58,51210,AC,False,912
51210000AC0056,56,51210,AC,False,2032
51210000AC0055,55,51210,AC,False,2130
51210000AC0057,57,51210,AC,False,395
51210000AC0148,148,51210,AC,False,410
51210000AC0154,154,51210,AC,False,267
51210000AC0047,47,51210,AC,False,271
51210000AC0048,48,51210,AC,False,985
51210000AC0150,150,51210,AC,False,335
51210000AC0152,152,51210,AC,False,1247
51210000AC0061,61,51210,AC,False,715
51210000AC0060,60,51210,AC,False,2081
51210000AC0145,145,51210,AC,False,1663
51210000AC0059,59,51210,AC,False,262
51210000AC0146,146,51210,AC,False,766
51210000AC0049,49,51210,AC,False,884
51210000AC0054,54,51210,AC,False,1079
51210000AC0053,53,51210,AC,False,1106
51210000AC0182,182,51210,AC,False,3525
51210000AC0051,51,51210,AC,False,296
51210000AC0050,50,51210,AC,False,321
51210000AC0173,173,51210,AC,False,1352
51210000AC0174,174,51210,AC,False,476
51210000AC0134,134,51210,AC,False,286
51210000AC0131,131,51210,AC,False,79
51210000AC0163,163,51210,AC,False,1645
51210000AC0156,156,51210,AC,False,425
51210000AC0091,91,51210,AC,False,1934
51210000AC0176,176,51210,AC,False,5308
51210000AC0157,157,51210,AC,False,519
51210000AC0008,8,51210,AC,False,2448
51210000AC0116,116,51210,AC,False,216
51210000AC0122,122,51210,AC,False,850
51210000AC0125,125,51210,AC,False,4179
51210000AC0036,36,51210,AC,False,310
51210000AC0034,34,51210,AC,False,3082
51210000AC0035,35,51210,AC,False,772
51210000AC0037,37,51210,AC,False,371
51210000AC0033,33,51210,AC,False,416
51210000AC0032,32,51210,AC,False,386
51210000AC0107,107,51210,AC,False,300
51210000AC0029,29,51210,AC,False,536
51210000AC0030,30,51210,AC,False,169
51210000AC0028,28,51210,AC,False,1602
51210000AC0042,42,51210,AC,False,1806
51210000AC0141,141,51210,AC,False,1345
51210000AC0142,142,51210,AC,False,1221
51210000AC0040,40,51210,AC,False,2566
51210000AC0039,39,51210,AC,False,1096
51210000AC0038,38,51210,AC,False,615
51210000AC0106,106,51210,AC,False,491
51210000AC0018,18,51210,AC,False,294
51210000AC0021,21,51210,AC,False,403
51210000AC0014,14,51210,AC,False,347
51210000AC0100,100,51210,AC,False,1498
51210000AC0022,22,51210,AC,False,317
51210000AC0023,23,51210,AC,False,300
51210000AC0140,140,51210,AC,False,121
51210000AC0093,93,51210,AC,False,133
51210000AC0101,101,51210,AC,False,252
51210000AC0011,11,51210,AC,False,234
51210000AC0012,12,51210,AC,False,458
51210000AC0118,118,51210,AC,False,31
51210000AC0120,120,51210,AC,False,363
51210000AC0024,24,51210,AC,False,443
51210000AC0025,25,51210,AC,False,528
51210000AC0020,20,51210,AC,False,119
51210000AC0019,19,51210,AC,False,210
51210000AC0177,177,51210,AC,False,118
51210000AD0438,438,51210,AD,False,45322
51210000AD0289,289,51210,AD,False,48642
51210000AD0522,522,51210,AD,False,179
51210000AD0521,521,51210,AD,False,157
51210000AD0468,468,51210,AD,True,3252
51210000AD0405,405,51210,AD,False,335
51210000AD0290,290,51210,AD,False,266
51210000AD0202,202,51210,AD,False,509
51210000AD0198,198,51210,AD,False,1192
51210000AD0291,291,51210,AD,False,426
51210000AD0203,203,51210,AD,False,628
51210000AD0470,470,51210,AD,True,2569
51210000AD0543,543,51210,AD,False,913
51210000AD0204,204,51210,AD,False,751
51210000AD0471,471,51210,AD,True,286
51210000AD0367,367,51210,AD,False,350
51210000AD0472,472,51210,AD,True,5997
51210000AD0190,190,51210,AD,False,802
51210000AD0368,368,51210,AD,False,373
51210000AD0199,199,51210,AD,False,198
51210000AD0403,403,51210,AD,False,660
51210000AD0404,404,51210,AD,False,37
51210000AD0402,402,51210,AD,False,160
51210000AD0371,371,51210,AD,False,4900
51210000AD0196,196,51210,AD,False,695
51210000AD0317,317,51210,AD,False,1117
51210000AD0195,195,51210,AD,False,306
51210000AD0351,351,51210,AD,False,1954
51210000AD0286,286,51210,AD,False,1061
51210000AD0406,406,51210,AD,False,1509
51210000AD0185,185,51210,AD,False,2343
51210000AD0319,319,51210,AD,False,1470
51210000AD0398,398,51210,AD,False,1224
51210000AD0186,186,51210,AD,False,342
51210000AD0401,401,51210,AD,False,1356
51210000AD0192,192,51210,AD,False,1033
51210000AD0194,194,51210,AD,False,318
51210000AD0553,553,51210,AD,False,461
51210000AD0467,467,51210,AD,True,862
51210000AD0497,497,51210,AD,False,963
51210000AD0231,231,51210,AD,False,829
51210000AD0469,469,51210,AD,True,323
51210000AD0292,292,51210,AD,False,1241
51210000AD0498,498,51210,AD,False,479
51210000AD0496,496,51210,AD,False,215
51210000AD0293,293,51210,AD,False,230
51210000AD0261,261,51210,AD,False,2066
51210000AD0500,500,51210,AD,False,1892
51210000AD0507,507,51210,AD,False,5
51210000AD0506,506,51210,AD,False,312
51210000AD0505,505,51210,AD,False,78
51210000AD0277,277,51210,AD,False,90
51210000AD0260,260,51210,AD,False,619
51210000AD0045,45,51210,AD,False,226
51210000AD0499,499,51210,AD,False,18
51210000AD0504,504,51210,AD,False,120
51210000AD0324,324,51210,AD,False,147
51210000AD0030,30,51210,AD,False,226
51210000AD0230,230,51210,AD,False,740
51210000AD0206,206,51210,AD,False,924
51210000AD0482,482,51210,AD,False,13776
51210000AD0001,1,51210,AD,False,1553
51210000AD0321,321,51210,AD,False,569
51210000AD0029,29,51210,AD,False,175
51210000AD0024,24,51210,AD,False,1140
51210000AD0036,36,51210,AD,False,313
51210000AD0011,11,51210,AD,False,1640
51210000AD0501,501,51210,AD,False,244
51210000AD0502,502,51210,AD,False,312
51210000AD0042,42,51210,AD,False,1887
51210000AD0044,44,51210,AD,False,214
51210000AD0034,34,51210,AD,False,247
51210000AD0037,37,51210,AD,False,965
51210000AD0043,43,51210,AD,False,448
51210000AD0259,259,51210,AD,False,344
51210000AD0063,63,51210,AD,False,4435
51210000AD0040,40,51210,AD,False,1427
51210000AD0255,255,51210,AD,False,322
51210000AD0392,392,51210,AD,False,440
51210000AD0388,388,51210,AD,False,103
51210000AD0391,391,51210,AD,False,113
51210000AD0214,214,51210,AD,False,1570
51210000AD0033,33,51210,AD,False,525
51210000AD0257,257,51210,AD,False,432
51210000AD0258,258,51210,AD,False,272
51210000AD0386,386,51210,AD,False,218
51210000AD0387,387,51210,AD,False,98
51210000AD0390,390,51210,AD,False,99
51210000AD0389,389,51210,AD,False,307
51210000AD0213,213,51210,AD,False,464
51210000AD0484,484,51210,AD,False,312
51210000AD0483,483,51210,AD,False,572
51210000AD0331,331,51210,AD,False,573
51210000AD0222,222,51210,AD,False,3488
51210000AD0334,334,51210,AD,False,59
51210000AD0333,333,51210,AD,False,1417
51210000AD0209,209,51210,AD,False,2218
51210000AD0208,208,51210,AD,False,894
51210000AD0207,207,51210,AD,False,1688
51210000AD0205,205,51210,AD,False,724
51210000AD0228,228,51210,AD,False,248
51210000AD0218,218,51210,AD,False,1403
51210000AD0046,46,51210,AD,False,176
51210000AD0047,47,51210,AD,False,576
51210000AD0278,278,51210,AD,False,286
51210000AD0048,48,51210,AD,False,1065
51210000AD0049,49,51210,AD,False,407
51210000AD0053,53,51210,AD,False,1122
51210000AD0545,545,51210,AD,False,498
51210000AD0557,557,51210,AD,False,539
51210000AD0544,544,51210,AD,False,390
51210000AD0183,183,51210,AD,False,380
51210000AD0233,233,51210,AD,False,211
51210000AD0372,372,51210,AD,False,1047
51210000AD0182,182,51210,AD,False,306
51210000AD0234,234,51210,AD,False,526
51210000AD0232,232,51210,AD,False,1047
51210000AD0373,373,51210,AD,False,1047
51210000AD0301,301,51210,AD,False,3500
51210000AD0370,370,51210,AD,False,3400
51210000AD0320,320,51210,AD,False,10
51210000AD0181,181,51210,AD,False,232
51210000AD0302,302,51210,AD,False,2136
51210000AD0300,300,51210,AD,False,3500
51210000AD0369,369,51210,AD,False,3530
51210000AD0352,352,51210,AD,False,79
51210000AD0299,299,51210,AD,False,2400
51210000AD0350,350,51210,AD,False,79
51210000AD0413,413,51210,AD,False,1261
51210000AD0414,414,51210,AD,False,1204
51210000AD0243,243,51210,AD,False,297
51210000AD0283,283,51210,AD,False,149
51210000AD0282,282,51210,AD,False,149
51210000AD0245,245,51210,AD,False,341
51210000AD0358,358,51210,AD,False,18
51210000AD0244,244,51210,AD,False,238
51210000AD0242,242,51210,AD,False,504
51210000AD0247,247,51210,AD,False,149
51210000AD0281,281,51210,AD,False,499
51210000AD0558,558,51210,AD,False,77
51210000AD0250,250,51210,AD,False,335
51210000AD0318,318,51210,AD,False,10
51210000AD0332,332,51210,AD,False,20
51210000AD0224,224,51210,AD,False,831
51210000AD0235,235,51210,AD,False,356
51210000AD0478,478,51210,AD,False,275
51210000AD0227,227,51210,AD,False,210
51210000AD0226,226,51210,AD,False,357
51210000AD0223,223,51210,AD,False,19
51210000AD0477,477,51210,AD,False,47
51210000AD0479,479,51210,AD,False,116
51210000AD0225,225,51210,AD,False,1371
51210000AD0473,473,51210,AD,False,222
51210000AD0474,474,51210,AD,False,181
51210000AD0475,475,51210,AD,False,116
51210000AD0476,476,51210,AD,False,241
51210000AD0216,216,51210,AD,False,1148
51210000AD0215,215,51210,AD,False,357
51210000AD0237,237,51210,AD,False,558
51210000AD0236,236,51210,AD,False,1997
51210000AD0238,238,51210,AD,False,2378
51210000AD0417,417,51210,AD,False,187
51210000AD0562,562,51210,AD,False,128
51210000AD0239,239,51210,AD,False,5648
51210000AD0552,552,51210,AD,False,8
51210000AD0560,560,51210,AD,False,674
51210000AD0550,550,51210,AD,False,94
51210000AD0554,554,51210,AD,False,310
51210000AD0559,559,51210,AD,False,87
51210000AD0561,561,51210,AD,False,213
51210000AD0503,503,51210,AD,False,20
51210000AD0128,128,51210,AD,False,5458
51210000AD0143,143,51210,AD,False,3123
51210000AD0460,460,51210,AD,False,742
51210000AD0003,3,51210,AD,False,163
51210000AD0461,461,51210,AD,False,156
51210000AD0458,458,51210,AD,False,19
51210000AD0002,2,51210,AD,False,102
51210000AD0004,4,51210,AD,False,117
51210000AD0013,13,51210,AD,False,389
51210000AD0457,457,51210,AD,False,401
51210000AD0459,459,51210,AD,False,36
51210000AD0456,456,51210,AD,False,109
51210000AD0455,455,51210,AD,False,28
51210000AD0026,26,51210,AD,False,348
51210000AD0005,5,51210,AD,False,355
51210000AD0462,462,51210,AD,False,304
51210000AD0453,453,51210,AD,False,289
51210000AD0070,70,51210,AD,False,512
51210000AD0025,25,51210,AD,False,321
51210000AD0006,6,51210,AD,False,281
51210000AD0466,466,51210,AD,False,1163
51210000AD0463,463,51210,AD,False,96
51210000AD0066,66,51210,AD,False,499
51210000AD0454,454,51210,AD,False,35
51210000AD0007,7,51210,AD,False,937
51210000AD0038,38,51210,AD,False,1104
51210000AD0022,22,51210,AD,False,353
51210000AD0023,23,51210,AD,False,170
51210000AD0041,41,51210,AD,False,622
51210000AD0147,147,51210,AD,False,665
51210000AD0142,142,51210,AD,False,411
51210000AD0148,148,51210,AD,False,654
51210000AD0144,144,51210,AD,False,631
51210000AD0490,490,51210,AD,False,1621
51210000AD0141,141,51210,AD,False,550
51210000AD0146,146,51210,AD,False,555
51210000AD0145,145,51210,AD,False,627
51210000AD0154,154,51210,AD,False,285
51210000AD0152,152,51210,AD,False,781
51210000AD0149,149,51210,AD,False,909
51210000AD0059,59,51210,AD,False,1015
51210000AD0284,284,51210,AD,False,713
51210000AD0156,156,51210,AD,False,526
51210000AD0150,150,51210,AD,False,783
51210000AD0060,60,51210,AD,False,514
51210000AD0064,64,51210,AD,False,450
51210000AD0377,377,51210,AD,False,1776
51210000AD0062,62,51210,AD,False,1210
51210000AD0162,162,51210,AD,False,176
51210000AD0163,163,51210,AD,False,767
51210000AD0161,161,51210,AD,False,312
51210000AD0164,164,51210,AD,False,1028
51210000AD0160,160,51210,AD,False,435
51210000AD0158,158,51210,AD,False,468
51210000AD0159,159,51210,AD,False,480
51210000AD0345,345,51210,AD,False,231
51210000AD0061,61,51210,AD,False,569
51210000AD0065,65,51210,AD,False,613
51210000AD0451,451,51210,AD,False,766
51210000AD0080,80,51210,AD,False,447
51210000AD0069,69,51210,AD,False,149
51210000AD0344,344,51210,AD,False,225
51210000AD0452,452,51210,AD,False,32
